UserID,Category,Difficulty,TimeTaken,Attempts,Correctness
1,Logic,Medium,52.450712295168486,2,1
1,Geometry,Easy,37.92603548243223,1,0
1,Logic,Easy,45.79212815507391,1,0
1,Arithmetic,Easy,37.67434729152909,1,1
1,Logic,Easy,24.286198342458583,1,1
1,Logic,Hard,41.89792905632238,2,1
1,Logic,Easy,44.65648768921554,1,1
1,Arithmetic,Hard,65.4844739902693,1,0
1,Geometry,Medium,47.994922997881766,1,0
1,Geometry,Medium,78.94879642093278,1,0
1,Logic,Hard,85.56362280257973,3,0
1,Arithmetic,Hard,45.58312700057955,5,1
1,Arithmetic,Easy,28.843517176117594,1,0
1,Logic,Medium,40.48344456616067,1,0
1,Arithmetic,Easy,33.24083969394795,1,0
1,Logic,Hard,55.37294298959209,2,0
1,Algebra,Medium,73.55799140492712,1,1
1,Arithmetic,Easy,39.31280119116199,1,0
1,Geometry,Easy,17.37770065678776,1,1
1,Geometry,Hard,117.98940927354461,5,0
1,Arithmetic,Hard,77.22791211016828,4,1
1,Geometry,Medium,90.76073132931938,1,0
1,Arithmetic,Medium,51.37641164803254,2,0
1,Algebra,Easy,11.149173024789285,1,1
1,Arithmetic,Hard,53.830127942136244,7,0
1,Algebra,Medium,45.968373215478344,2,1
1,Geometry,Easy,59.10600430209334,1,1
1,Algebra,Hard,67.7011832293595,2,0
1,Arithmetic,Easy,28.38714288333991,1,1
1,Geometry,Medium,68.08101713629077,3,1
1,Arithmetic,Hard,71.20460419882053,1,0
1,Algebra,Easy,64.55890534982343,1,1
1,Algebra,Hard,83.49552410466609,3,0
1,Logic,Easy,29.92619850055427,1,1
1,Arithmetic,Easy,35.868570938002705,1,0
1,Geometry,Hard,150.71366877429935,2,0
1,Arithmetic,Easy,14.493365689338674,1,1
1,Geometry,Easy,41.02844462209041,1,1
1,Arithmetic,Hard,54.334934153275256,6,1
1,Arithmetic,Easy,26.779384837943244,1,0
1,Geometry,Easy,43.89824191372635,1,1
1,Logic,Easy,37.8182287177731,4,1
1,Geometry,Medium,65.86144946597362,1,1
1,Geometry,Medium,45.71297163947264,3,0
1,Geometry,Easy,28.732308630041075,3,1
1,Arithmetic,Medium,33.043579203192046,1,1
1,Logic,Medium,31.65728355561715,5,0
1,Geometry,Hard,60.52569145103685,3,1
1,Algebra,Medium,35.72393503489998,4,0
1,Algebra,Medium,63.68450347437734,4,1
2,Algebra,Easy,29.641820575195748,1,1
2,Algebra,Medium,70.41517829782251,3,0
2,Algebra,Medium,74.03362315952278,3,1
2,Geometry,Easy,40.77041289219453,4,1
2,Geometry,Medium,71.41781021386333,4,1
2,Logic,Hard,93.38914100451497,1,0
2,Logic,Easy,12.115034950195035,1,1
2,Algebra,Easy,39.28765450323961,1,1
2,Logic,Hard,104.00950352832197,2,1
2,Algebra,Easy,36.54261200085298,1,1
2,Logic,Hard,14.371435333559823,3,1
2,Arithmetic,Hard,73.72908629538856,4,1
2,Arithmetic,Hard,76.35534064874237,6,0
2,Algebra,Easy,15.653272313905717,1,1
2,Algebra,Easy,32.15129646551997,1,1
2,Algebra,Medium,88.69610224850148,1,1
2,Geometry,Hard,133.97233911794905,1,0
2,Geometry,Hard,42.09575866118102,4,1
2,Arithmetic,Hard,65.95084948336898,5,0
2,Geometry,Hard,86.82689821351481,5,1
2,Geometry,Hard,70.40701701842919,2,0
2,Algebra,Hard,80.189956532143,1,0
2,Arithmetic,Hard,87.99199750866501,3,0
2,Algebra,Medium,60.531391375778966,3,0
2,Geometry,Hard,101.41292143510114,4,0
2,Arithmetic,Medium,46.96711021349159,2,0
2,Geometry,Easy,44.86249528732663,2,1
2,Algebra,Easy,33.438283347587785,1,1
2,Algebra,Easy,48.89733048200081,2,1
2,Geometry,Easy,51.87494040944404,1,1
2,Logic,Medium,59.62679600126627,1,1
2,Arithmetic,Medium,47.79413927746792,2,1
2,Geometry,Medium,51.3339318619488,2,1
2,Arithmetic,Hard,74.07645455054934,7,1
2,Geometry,Hard,94.32722696794013,2,0
2,Algebra,Hard,111.88390542373881,1,0
2,Arithmetic,Medium,54.84077840507134,4,0
2,Geometry,Easy,27.591535846715153,1,0
2,Algebra,Hard,80.60231204526042,1,0
2,Logic,Medium,45.18888601172692,3,0
2,Algebra,Easy,45.46784764064814,1,1
2,Algebra,Hard,79.5835501434588,5,0
2,Geometry,Medium,80.65200808035954,1,0
2,Logic,Easy,11.89868675003984,3,0
2,Logic,Medium,31.52377992977463,5,0
2,Geometry,Easy,47.37878757259759,1,1
2,Algebra,Easy,49.15328144865545,1,1
2,Algebra,Easy,29.36989217474354,2,0
2,Geometry,Medium,10.954707973685338,1,0
2,Algebra,Medium,38.77671126403598,7,1
3,Arithmetic,Hard,42.62819768916286,3,0
3,Algebra,Easy,41.42590171970245,2,0
3,Arithmetic,Easy,50.60747924881987,1,1
3,Logic,Easy,47.55340842443204,1,1
3,Arithmetic,Hard,99.78090347768958,1,1
3,Arithmetic,Easy,38.778251684801134,1,1
3,Logic,Medium,27.251122310013372,3,1
3,Geometry,Easy,9.411517333598493,3,0
3,Geometry,Medium,25.932351212896904,3,0
3,Logic,Easy,29.444523011033812,1,1
3,Logic,Hard,37.4687023788222,4,1
3,Algebra,Hard,87.19183187308235,1,1
3,Geometry,Hard,60.53502780134534,1,0
3,Logic,Medium,36.61461760149215,1,1
3,Geometry,Hard,81.94151462560431,2,0
3,Logic,Easy,30.421340817419292,1,1
3,Logic,Easy,36.14166700043425,1,1
3,Algebra,Easy,44.090092520567666,1,1
3,Logic,Hard,49.336895432786406,1,1
3,Algebra,Medium,15.541658987644382,4,1
3,Logic,Easy,13.935536797424277,1,1
